Nested Sampling Global Log-Evidence           :   -0.962764613768569433E+02  +/-    0.899903141116418087E-01
Nested Importance Sampling Global Log-Evidence:   -0.965338385662547438E+02  +/-    0.103131749977978110E+00

Dim No.       Mean        Sigma
   1    0.116548302375836230E+00    0.299674752381482931E-01
   2    0.298906171541821131E+01    0.584642968331526069E+00
   3    0.223855732793957138E-01    0.211663810392873075E-02
   4    0.113668267893651742E+01    0.105028376871778142E+00
   5    0.742501089534640113E+00    0.469009705456916171E-01
   6    0.107294945797747165E+01    0.594193523126317125E+00
   7    0.136644997373185384E+01    0.689675572733856379E+00
   8    0.255413674801198975E+00    0.649740850209045429E-01
   9    0.846388297863057359E+00    0.122807734581635200E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.107757814055113782E+00
   2    0.304706209464349875E+01
   3    0.201037358329270652E-01
   4    0.971493143819964988E+00
   5    0.689543478497266715E+00
   6    0.108366511542043931E+01
   7    0.100044495350123430E+01
   8    0.268916006803751551E+00
   9    0.789909120560521871E+00

MAP Parameters
Dim No.        Parameter
   1    0.204069949529228162E+00
   2    0.189492847481045956E+01
   3    0.243087901876712260E-01
   4    0.109256163447678878E+01
   5    0.814725743252849743E+00
   6    0.184362869653448769E+01
   7    0.958504496786369287E+00
   8    0.344058897829016053E+00
   9    0.700206832710420946E+00
