Nested Sampling Global Log-Evidence           :   -0.942233285758145058E+02  +/-    0.938127887606225869E-01
Nested Importance Sampling Global Log-Evidence:   -0.945599311299598781E+02  +/-    0.643720058355023994E-01

Dim No.       Mean        Sigma
   1    0.147994224299734356E+00    0.368680887566031415E-01
   2    0.242071635104902505E+01    0.486973384850053204E+00
   3    0.226660321831816010E-01    0.212739333248254626E-02
   4    0.113176094435703822E+01    0.119095427592994671E+00
   5    0.720593110106496071E+00    0.437217422675421977E-01
   6    0.109776114881264109E+01    0.542549118340175829E+00
   7    0.150784918993732364E+01    0.681997364073783974E+00
   8    0.325202390229279825E+00    0.456087369134392379E-01
   9    0.729947645661856104E+00    0.683506707098368305E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130355140621256499E+00
   2    0.258962309698443560E+01
   3    0.231750899924682632E-01
   4    0.122297695141957186E+01
   5    0.705083708674678400E+00
   6    0.173375073412287684E+01
   7    0.195252683425481921E+01
   8    0.308825065266979004E+00
   9    0.774306570704451302E+00

MAP Parameters
Dim No.        Parameter
   1    0.986949082102312053E-01
   2    0.324568616952825773E+01
   3    0.221063730755411518E-01
   4    0.110441522094491784E+01
   5    0.664058939289320915E+00
   6    0.188186967487773771E+01
   7    0.130294165292326647E+01
   8    0.273941787935117476E+00
   9    0.842784370976436437E+00
