Nested Sampling Global Log-Evidence           :   -0.100932761862161669E+03  +/-    0.100102852946635193E+00
Nested Importance Sampling Global Log-Evidence:   -0.101396869198002207E+03  +/-    0.479357592491610474E-01

Dim No.       Mean        Sigma
   1    0.935408679739864329E-01    0.113070994432141921E-01
   2    0.326469008903143409E+01    0.276541957818181749E+00
   3    0.229188753303594187E-01    0.208054323437106533E-02
   4    0.117482321951189306E+01    0.925724343270890176E-01
   5    0.681399985074047199E+00    0.246038316471068018E-01
   6    0.105025638249860442E+01    0.627648987928416280E+00
   7    0.143747387124856019E+01    0.691304861915798652E+00
   8    0.251131413544404380E+00    0.256102264282248270E-01
   9    0.838381236918297024E+00    0.587600567665221007E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.967873878559344231E-01
   2    0.314534441386673613E+01
   3    0.254786259617792860E-01
   4    0.129844059601510908E+01
   5    0.678464128224782526E+00
   6    0.139754995610647370E+01
   7    0.194045443605007550E+01
   8    0.265614617757912508E+00
   9    0.833800219600865922E+00

MAP Parameters
Dim No.        Parameter
   1    0.949767574655245583E-01
   2    0.317936919666829843E+01
   3    0.247862158638271837E-01
   4    0.129172197127199251E+01
   5    0.695344273063611684E+00
   6    0.246185257837479909E+01
   7    0.137187666103913131E+01
   8    0.247698174206502447E+00
   9    0.845353009181292636E+00
