Nested Sampling Global Log-Evidence           :   -0.105592104189842757E+03  +/-    0.997741161317846070E-01
Nested Importance Sampling Global Log-Evidence:   -0.106064611348342794E+03  +/-    0.356800114010781128E-01

Dim No.       Mean        Sigma
   1    0.987419049426227352E-01    0.115364491214957413E-01
   2    0.317797633598721951E+01    0.263424437565718428E+00
   3    0.231253228014113507E-01    0.205672546713990068E-02
   4    0.114930601077383576E+01    0.101444652336500019E+00
   5    0.687852649583199249E+00    0.252045525271516434E-01
   6    0.102782599929794261E+01    0.618730287016731828E+00
   7    0.137272406764403954E+01    0.698290054775735358E+00
   8    0.257936419453116628E+00    0.260236830923378723E-01
   9    0.826371969524049788E+00    0.581322979977968307E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.881270701095363124E-01
   2    0.334912207185373756E+01
   3    0.224949644407466606E-01
   4    0.122168009006488010E+01
   5    0.668547958311364710E+00
   6    0.180718533776540724E+01
   7    0.149888436262972480E+01
   8    0.247500743565084363E+00
   9    0.855319497020479491E+00

MAP Parameters
Dim No.        Parameter
   1    0.100670388498191862E+00
   2    0.311331379985268430E+01
   3    0.256510813463716909E-01
   4    0.111203854119735168E+01
   5    0.718383757498242126E+00
   6    0.294561118923692078E+00
   7    0.158370942703037088E+01
   8    0.244773366760443756E+00
   9    0.791753347534052576E+00
