Nested Sampling Global Log-Evidence           :   -0.103163821216401317E+03  +/-    0.928493668583719456E-01
Nested Importance Sampling Global Log-Evidence:   -0.104275930728601026E+03  +/-    0.143615271084241766E-01

Dim No.       Mean        Sigma
   1    0.113611827743732643E+00    0.458802194506417738E-01
   2    0.324901977014228383E+01    0.916240872504925918E+00
   3    0.223824130229792369E-01    0.213410467053966107E-02
   4    0.103058777363407073E+01    0.135550243086971750E+00
   5    0.745898815161471274E+00    0.486273525562793199E-01
   6    0.974936666478694147E+00    0.716920282331388048E+00
   7    0.249968722116749342E+01    0.312644227693673449E+00
   8   -0.407901702044462681E-05    0.195806914713462881E-03
   9    0.102169739586034058E+01    0.126468147819640914E+00
  10   -0.717195936286987162E-02    0.360068239592127859E-01
  11   -0.103480805604186706E-01    0.201653864863690115E-01
  12    0.133851384025853032E-01    0.209246569556939023E-01
  13    0.116244160543293984E-02    0.113658488578573871E-01
  14   -0.770657316804555684E-03    0.104785527058781237E-01
  15    0.248186602815660406E+00    0.883515776119642854E-01
  16    0.854990881263028690E+00    0.166561059225311864E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.576667517471458890E-01
   2    0.479607686427343527E+01
   3    0.236450980487762259E-01
   4    0.103441705578440302E+01
   5    0.786875342044770498E+00
   6    0.146144045919730203E+01
   7    0.245366553877459959E+01
   8    0.218181564847618348E-04
   9    0.985795871632209830E+00
  10   -0.414302939358059119E-02
  11   -0.133106831085958166E-01
  12    0.828338005727102811E-02
  13    0.213236868677468827E-03
  14    0.890967339880012477E-03
  15    0.132363671627994034E+00
  16    0.116433786186353716E+01

MAP Parameters
Dim No.        Parameter
   1    0.489797259928984111E-01
   2    0.497983244738184805E+01
   3    0.248735720763788547E-01
   4    0.110364395996578146E+01
   5    0.752971689526641397E+00
   6   -0.156519766028870855E+00
   7    0.228178757169016766E+01
   8    0.156233208159264761E-03
   9    0.929474824873286920E+00
  10    0.542882672420660212E-01
  11   -0.174889141324616193E-02
  12    0.511296113684546610E-01
  13   -0.720968675245606261E-02
  14    0.153905802511979800E-01
  15    0.131396566958844746E+00
  16    0.112017016337177555E+01
