Nested Sampling Global Log-Evidence           :   -0.115761718850536994E+03  +/-    0.139668900884267699E+00
Nested Importance Sampling Global Log-Evidence:   -0.117463948668078388E+03  +/-    0.562853685323669393E-02

Dim No.       Mean        Sigma
   1    0.110349623970117758E+00    0.381897760511539473E-02
   2    0.304533495933386167E+01    0.144796251755241467E-01
   3    0.225114348230600995E-01    0.217773481007026799E-02
   4    0.965049315455080103E+00    0.431823800087832114E-02
   5    0.691621804978982291E+00    0.149005740698094913E-01
   6    0.891139432549376109E+00    0.650825734319448790E+00
   7    0.254846647592614639E+01    0.314591773018518317E+00
   8    0.208318784032301195E-05    0.196468389116670543E-03
   9    0.102101373699321285E+01    0.130153934303982172E+00
  10   -0.690477054431237573E-02    0.358225777802634454E-01
  11   -0.964142495576776268E-02    0.199790991178821938E-01
  12    0.135224383841744747E-01    0.208584970469338736E-01
  13    0.134966466872352706E-02    0.116288286465157879E-01
  14   -0.106033568891190488E-02    0.108552798948155955E-01
  15    0.279487692877253113E+00    0.163656987171347593E-01
  16    0.771453418125846002E+00    0.126338952677679354E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.110475936248654052E+00
   2    0.304353051675478126E+01
   3    0.194510456363717402E-01
   4    0.961394153770668281E+00
   5    0.667184560411429373E+00
   6    0.109913075407813920E+01
   7    0.235593040691197242E+01
   8   -0.401487600190634673E-04
   9    0.107221484565867398E+01
  10   -0.209892738166436721E-02
  11   -0.551312946648717384E-02
  12    0.106382242741086264E-01
  13    0.389892057054298108E-02
  14   -0.641810949582599655E-04
  15    0.293329098090340412E+00
  16    0.784839546967105450E+00

MAP Parameters
Dim No.        Parameter
   1    0.105282852454385636E+00
   2    0.303512568425929885E+01
   3    0.202496594785476561E-01
   4    0.964039957057645114E+00
   5    0.694749082454341527E+00
   6    0.735910969804353776E+00
   7    0.286800909422648553E+01
   8    0.173755537432520842E-03
   9    0.112519251239589124E+01
  10   -0.788365292710676291E-01
  11   -0.669921218764057969E-02
  12    0.213823560665905854E-01
  13   -0.133086488135269951E-01
  14   -0.222249180758790285E-02
  15    0.261410496195069453E+00
  16    0.758822368916838297E+00
