Nested Sampling Global Log-Evidence           :   -0.106315842336794830E+03  +/-    0.102825356087758044E+00
Nested Importance Sampling Global Log-Evidence:   -0.107460927362633228E+03  +/-    0.108258770408273027E-01

Dim No.       Mean        Sigma
   1    0.657702038852256698E-01    0.101542574739923556E-01
   2    0.439032254544330236E+01    0.379591163781891450E+00
   3    0.218556056594882003E-01    0.204615285373956285E-02
   4    0.106916957152463676E+01    0.125283172932221076E+00
   5    0.781641999083834249E+00    0.294496500259091333E-01
   6    0.868153955356030571E+00    0.832078350183912741E+00
   7    0.251029578582874224E+01    0.319319842625436223E+00
   8    0.124316175456309351E-05    0.197866891730841667E-03
   9    0.102498002798016974E+01    0.128252017893199455E+00
  10   -0.173963174812966819E-02    0.362583435013305797E-01
  11   -0.108134560691515308E-01    0.208871497520271877E-01
  12    0.108508967365211415E-01    0.213666819829624252E-01
  13    0.772695976743820482E-03    0.114792798224835069E-01
  14   -0.678757312673551865E-03    0.107285433578870448E-01
  15    0.145523470517051057E+00    0.247525333304646489E-01
  16    0.108779437775934418E+01    0.960864034637169406E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.524763679808148975E-01
   2    0.496060860697238226E+01
   3    0.207175171732450376E-01
   4    0.109233013319770289E+01
   5    0.814744343402599380E+00
   6    0.815730156254337757E+00
   7    0.290408001002333949E+01
   8   -0.181781657833065202E-03
   9    0.102313528354311378E+01
  10   -0.808462449009172968E-02
  11   -0.388821419165404081E-02
  12    0.216362512619556746E-01
  13    0.309189445500902826E-02
  14    0.464460870714326901E-03
  15    0.111233945160815195E+00
  16    0.123163455347082640E+01

MAP Parameters
Dim No.        Parameter
   1    0.632613183434219545E-01
   2    0.435680101507180417E+01
   3    0.236059261879610800E-01
   4    0.124408818106570251E+01
   5    0.816699453960080479E+00
   6    0.471796045898321914E+00
   7    0.268754786458781103E+01
   8    0.134037488591079207E-03
   9    0.113162304337099306E+01
  10    0.548611800068032757E-01
  11    0.147432496440215444E-01
  12   -0.181143859556313971E-01
  13   -0.181399878971981419E-01
  14   -0.522912169297025387E-02
  15    0.131201863699465876E+00
  16    0.110466432669774539E+01
