Nested Sampling Global Log-Evidence           :   -0.122259643659476851E+03  +/-    0.139247130785501050E+00
Nested Importance Sampling Global Log-Evidence:   -0.123936242719681744E+03  +/-    0.441405405510389773E-02

Dim No.       Mean        Sigma
   1    0.109508309923768990E+00    0.385884189825913505E-02
   2    0.304621461059812493E+01    0.142452880592553854E-01
   3    0.232049161910914681E-01    0.204716980681738086E-02
   4    0.965112869675204932E+00    0.435904842784751254E-02
   5    0.700161617468762265E+00    0.155625575351975281E-01
   6    0.826005370543335449E+00    0.682182459360462845E+00
   7    0.258706176275354327E+01    0.316510082334153564E+00
   8    0.590787154670213030E-06    0.196439176240100334E-03
   9    0.102527443467762636E+01    0.128818671984967686E+00
  10   -0.392809622379360329E-02    0.364006625420548943E-01
  11   -0.948772658737455019E-02    0.205999688533874924E-01
  12    0.131092121161846490E-01    0.212343824960436120E-01
  13    0.826868441891714435E-03    0.115506610520708323E-01
  14   -0.143898295329814561E-02    0.106899217974207456E-01
  15    0.272483700020792807E+00    0.168168065569825158E-01
  16    0.765238308584412885E+00    0.137997728935969049E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114103203185180885E+00
   2    0.304854552148484315E+01
   3    0.248013983219339054E-01
   4    0.965564758796790157E+00
   5    0.695268841687285200E+00
   6    0.801324530470502339E+00
   7    0.218093124584243814E+01
   8   -0.156822417128674304E-04
   9    0.999439529292423856E+00
  10   -0.668498728088325056E-02
  11   -0.169304772608821277E-01
  12    0.114083207582501706E-01
  13    0.528316668547243462E-02
  14   -0.384731391545878321E-04
  15    0.288682446700407769E+00
  16    0.776638366537676372E+00

MAP Parameters
Dim No.        Parameter
   1    0.108541255182666926E+00
   2    0.306088503201706486E+01
   3    0.219475791968953490E-01
   4    0.965045860093867836E+00
   5    0.694516539826176671E+00
   6    0.879656298206314524E+00
   7    0.265808768807275397E+01
   8    0.218064574957806102E-03
   9    0.832621398923984901E+00
  10   -0.323338886144095561E-01
  11   -0.347992777823002905E-01
  12    0.352064105907593655E-01
  13   -0.719562165444157659E-02
  14    0.104427286712719808E-01
  15    0.271860876497148907E+00
  16    0.773435263382454163E+00
