Nested Sampling Global Log-Evidence           :   -0.105892676226752982E+03  +/-    0.963998118073590704E-01
Nested Importance Sampling Global Log-Evidence:   -0.106984650267397868E+03  +/-    0.203535513716303837E-01

Dim No.       Mean        Sigma
   1    0.150348162261286750E+00    0.411569548285939113E-01
   2    0.249329574630404682E+01    0.524955722831635607E+00
   3    0.227417587029864060E-01    0.213040008811764010E-02
   4    0.997484710866699431E+00    0.138508526763231304E+00
   5    0.721459401331252193E+00    0.447630760572417519E-01
   6    0.104857035317748415E+01    0.624787115754545597E+00
   7    0.249565548577251972E+01    0.310808854571472004E+00
   8    0.296384121267599444E-05    0.195839847526708272E-03
   9    0.102447773724419178E+01    0.127935754652606842E+00
  10   -0.116707777611610355E-01    0.354309612277526748E-01
  11   -0.970520675991963684E-02    0.200164177438409696E-01
  12    0.155313851571990090E-01    0.206312154056675634E-01
  13    0.142115576046498299E-02    0.115371672599969017E-01
  14   -0.610183413993673472E-03    0.106108886105319000E-01
  15    0.329623881467996371E+00    0.517562731112638855E-01
  16    0.706454775082623887E+00    0.716756841293815367E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.841296924995027923E-01
   2    0.352184545984087016E+01
   3    0.228374479588922472E-01
   4    0.109722390240337386E+01
   5    0.657378734913965035E+00
   6    0.799641046151521095E+00
   7    0.203447405751419019E+01
   8   -0.908465326894525565E-05
   9    0.106062364395112052E+01
  10   -0.119305114375941601E-01
  11   -0.111053277521660498E-01
  12    0.901802359428206801E-02
  13    0.604701155098692766E-02
  14    0.114919131479742503E-02
  15    0.249015556943059935E+00
  16    0.838511795214586741E+00

MAP Parameters
Dim No.        Parameter
   1    0.146391228994736777E+00
   2    0.274834531556188555E+01
   3    0.249714231027627943E-01
   4    0.854147190024801994E+00
   5    0.732980910890019155E+00
   6    0.184051643701531553E+01
   7    0.249109151755163305E+01
   8   -0.193851841331450130E-03
   9    0.884184868529079182E+00
  10   -0.481674842323648322E-02
  11   -0.191801454460698365E-01
  12    0.349524142240399960E-01
  13    0.218277556070740689E-01
  14   -0.682432957626239942E-02
  15    0.320154976752423159E+00
  16    0.756294939666263821E+00
