Nested Sampling Global Log-Evidence           :   -0.115025560648039573E+03  +/-    0.113055776904516014E+00
Nested Importance Sampling Global Log-Evidence:   -0.117078334960942783E+03  +/-    0.703623912921870209E-01

Dim No.       Mean        Sigma
   1    0.137051640036426559E+00    0.219951051845776249E-01
   2    0.283188020769760174E+01    0.281224897918207484E+00
   3    0.222640797362676224E-01    0.202870289692047958E-02
   4    0.953070344306863770E+00    0.154472890658652717E+00
   5    0.696599948780542211E+00    0.230313817663057897E-01
   6    0.240471734986718255E+01    0.131537680431029469E+01
   7    0.253711266158433668E+01    0.308433527639051297E+00
   8   -0.484596068116165015E-05    0.174195804939928251E-03
   9    0.102089169882501873E+01    0.115918098722511395E+00
  10   -0.486607886403749995E-01    0.398557466327354309E-01
  11    0.350431256624973838E-02    0.174576070990063031E-01
  12    0.341119582608796629E-01    0.173318869327520157E-01
  13    0.124707136892732292E-02    0.103384974818180320E-01
  14   -0.106824811877525628E-02    0.974975341939138089E-02
  15    0.328199975446652525E+00    0.303744611070829625E-01
  16    0.789103331522045481E+00    0.402707440681319070E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.128917902185392924E+00
   2    0.291028311069663825E+01
   3    0.210198412886609537E-01
   4    0.913749213519572612E+00
   5    0.681776229655329691E+00
   6    0.138695258585960257E+01
   7    0.205911059204469815E+01
   8   -0.525129362080304805E-04
   9    0.102243226309489299E+01
  10   -0.573662940719683878E-02
  11    0.104626246972693848E-01
  12    0.335871469855409110E-01
  13   -0.440575555280584008E-03
  14   -0.914174710005717650E-03
  15    0.323958218826922384E+00
  16    0.788158665566249361E+00

MAP Parameters
Dim No.        Parameter
   1    0.128917902185392924E+00
   2    0.291028311069663825E+01
   3    0.210198412886609537E-01
   4    0.913749213519572612E+00
   5    0.681776229655329691E+00
   6    0.138695258585960257E+01
   7    0.205911059204469815E+01
   8   -0.525129362080304805E-04
   9    0.102243226309489299E+01
  10   -0.573662940719683878E-02
  11    0.104626246972693848E-01
  12    0.335871469855409110E-01
  13   -0.440575555280584008E-03
  14   -0.914174710005717650E-03
  15    0.323958218826922384E+00
  16    0.788158665566249361E+00
