Nested Sampling Global Log-Evidence           :   -0.133800489122789543E+03  +/-    0.146384998554112106E+00
Nested Importance Sampling Global Log-Evidence:   -0.135878778890164568E+03  +/-    0.206424643699423677E-01

Dim No.       Mean        Sigma
   1    0.113510682631690174E+00    0.176110371544382612E-02
   2    0.304585814549371525E+01    0.139456468966473648E-01
   3    0.228886385299482270E-01    0.206281406116039972E-02
   4    0.964986994937437892E+00    0.429057950915402633E-02
   5    0.682480707867861858E+00    0.144071852448991750E-01
   6    0.238389436459180803E+01    0.113489612858124556E+01
   7    0.254370627626725998E+01    0.320280280854519817E+00
   8   -0.280967249871728184E-05    0.192843897707632917E-03
   9    0.102063518742364856E+01    0.126724081094951951E+00
  10   -0.482809217622865439E-01    0.361757326373961657E-01
  11    0.452931221525987217E-02    0.178897481565403228E-01
  12    0.332537680989660814E-01    0.205805631123691379E-01
  13    0.563301947919241900E-03    0.115708816761483889E-01
  14   -0.936486622480737032E-03    0.105974153543855632E-01
  15    0.294435995160999164E+00    0.983880410813497801E-02
  16    0.781857983268217094E+00    0.103748903441324234E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112963982513647407E+00
   2    0.305710931933443408E+01
   3    0.228649782375776149E-01
   4    0.965009925055932860E+00
   5    0.683535044393241087E+00
   6    0.313158614517845990E+01
   7    0.211386948450612300E+01
   8   -0.194420312015059459E-04
   9    0.103684643287029399E+01
  10   -0.575352181721824479E-01
  11    0.461872731951661064E-02
  12    0.480753658493961872E-01
  13   -0.155865882883041845E-02
  14    0.178046894394234823E-02
  15    0.292095909466202897E+00
  16    0.784140445815391218E+00

MAP Parameters
Dim No.        Parameter
   1    0.115102188495201846E+00
   2    0.305537909483197634E+01
   3    0.234856889029963489E-01
   4    0.963315289470643821E+00
   5    0.679512593863341952E+00
   6    0.422977805608888069E+01
   7    0.286280772396753891E+01
   8   -0.195007817409390200E-03
   9    0.100335389528602814E+01
  10   -0.805492628177185144E-01
  11   -0.109768880616617007E-01
  12    0.124555151704751066E-01
  13   -0.497092363827340497E-02
  14   -0.211386874726746769E-01
  15    0.301539411338480723E+00
  16    0.787660130287240579E+00
