Nested Sampling Global Log-Evidence           :   -0.122434520640785678E+03  +/-    0.111811872320669761E+00
Nested Importance Sampling Global Log-Evidence:   -0.124383639732392453E+03  +/-    0.299879191545584650E-01

Dim No.       Mean        Sigma
   1    0.933125587846339172E-01    0.806768295327434971E-02
   2    0.338235328798101920E+01    0.199721850801111017E+00
   3    0.224584483479150950E-01    0.193747448357129543E-02
   4    0.944228956343735826E+00    0.159996092661199574E+00
   5    0.663324961410001412E+00    0.147741498407539980E-01
   6    0.194231359370275669E+01    0.111222694069449513E+01
   7    0.253302644371424224E+01    0.319980784567819976E+00
   8   -0.452874291475714917E-05    0.190060008886040131E-03
   9    0.101842896301814023E+01    0.122417368072916824E+00
  10   -0.392641956202058884E-01    0.400549913728987309E-01
  11    0.408172874361523944E-02    0.177226588976739305E-01
  12    0.341251001326695821E-01    0.197282570477058487E-01
  13    0.104061625263952894E-02    0.111941806727099413E-01
  14   -0.896516390003062377E-03    0.102494736509910964E-01
  15    0.264380085353050298E+00    0.141160924571357947E-01
  16    0.803999003191276373E+00    0.436847045893629105E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.894529547129758185E-01
   2    0.354789284994387355E+01
   3    0.217845648034120688E-01
   4    0.730196202636361424E+00
   5    0.654203962916903525E+00
   6    0.101833043638129261E+01
   7    0.264285671895246654E+01
   8    0.103333764343245971E-03
   9    0.103379932591049783E+01
  10   -0.410088280665816401E-01
  11    0.349344299778094058E-02
  12    0.253540946743499168E-01
  13   -0.471611526094196931E-02
  14   -0.125961803213023998E-02
  15    0.261416227144553759E+00
  16    0.797403080433986111E+00

MAP Parameters
Dim No.        Parameter
   1    0.740947896216736512E-01
   2    0.366263745776281446E+01
   3    0.226516654875216911E-01
   4    0.123675727353020215E+01
   5    0.644000758256768946E+00
   6    0.104362564190564910E+01
   7    0.228756670021138397E+01
   8   -0.653131926446577160E-04
   9    0.119506228154097949E+01
  10   -0.746200676415530173E-02
  11    0.241602346775601079E-01
  12    0.394444818528866398E-01
  13    0.581038167705431874E-02
  14   -0.124120347899176198E-01
  15    0.234824952918814639E+00
  16    0.856770114347824019E+00
