Nested Sampling Global Log-Evidence           :   -0.112725844610425654E+03  +/-    0.103436289247388249E+00
Nested Importance Sampling Global Log-Evidence:   -0.113502434264580785E+03  +/-    0.997284973755900167E-01

Dim No.       Mean        Sigma
   1    0.916028804007587433E-01    0.120578945830429711E-01
   2    0.335961736351327112E+01    0.321500390617639742E+00
   3    0.228880445385359899E-01    0.209935224787666545E-02
   4    0.108247904415435414E+01    0.123070039835577141E+00
   5    0.680284170647182163E+00    0.247408677015728551E-01
   6    0.992630294402950031E+00    0.689833925357486666E+00
   7    0.249818033334756029E+01    0.316702993905900565E+00
   8   -0.452631715615621929E-05    0.196979550702757443E-03
   9    0.102367480245975839E+01    0.127275979504630987E+00
  10   -0.867921825688035276E-02    0.365234479095679077E-01
  11   -0.983599014404987551E-02    0.206034399225060068E-01
  12    0.137642496777020621E-01    0.210387582717860809E-01
  13    0.136053439769168779E-02    0.115555933231384945E-01
  14   -0.910776147321959613E-03    0.106996069807559924E-01
  15    0.249171077774415273E+00    0.275847858434990975E-01
  16    0.820655668976101538E+00    0.634873639318887795E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.822051108420260163E-01
   2    0.347818853226187219E+01
   3    0.229268306013294537E-01
   4    0.121452209067981443E+01
   5    0.658627415875214783E+00
   6    0.131544849521070262E+01
   7    0.201580794285048626E+01
   8   -0.406102185938606291E-04
   9    0.102499676839895071E+01
  10   -0.643396710407340144E-02
  11   -0.195282830083334663E-01
  12    0.146948650632861139E-01
  13   -0.430027241937679106E-02
  14    0.213660727965354902E-02
  15    0.243841627423186907E+00
  16    0.841256185276207380E+00

MAP Parameters
Dim No.        Parameter
   1    0.114164747343324463E+00
   2    0.299943960933748865E+01
   3    0.255729727582826825E-01
   4    0.100941953951937635E+01
   5    0.683936878165077755E+00
   6    0.341905977288969432E+00
   7    0.219922119788225867E+01
   8   -0.739358801852617147E-04
   9    0.109858469745367948E+01
  10    0.461705970699505946E-01
  11   -0.147796504280530774E-01
  12    0.617908050144456017E-01
  13   -0.371855306837112765E-02
  14   -0.175111541398368514E-02
  15    0.300108942531131129E+00
  16    0.763436122980836074E+00
