Nested Sampling Global Log-Evidence           :   -0.980858783392591249E+02  +/-    0.936617759555958551E-01
Nested Importance Sampling Global Log-Evidence:   -0.100554541016112452E+03  +/-    0.526937193458538178E-01

Dim No.       Mean        Sigma
   1    0.168594590364110314E+00    0.565118324063262345E-01
   2    0.284436652118572342E+01    0.649412307347376871E+00
   3    0.224261674057896661E-01    0.198700696177742022E-02
   4    0.108392132294964694E+01    0.134181316431619818E+00
   5    0.737971615880537612E+00    0.477155437435207094E-01
   6    0.108825932038914885E+00    0.401210229350406275E-01
   7    0.336531206825052243E+01    0.886810382342781311E+00
   8    0.225313345149302686E-01    0.201547009062387657E-02
   9    0.100092994454569562E+01    0.158920223172126007E+00
  10    0.741266121382508025E+00    0.472460652260727892E-01
  11    0.124814797506340613E+00    0.324942878931726709E+01
  12    0.112786636372742999E+01    0.577027475996644612E+00
  13    0.101919656816118676E+01    0.618368334674704867E+00
  14    0.501293593304388096E+01    0.271891500082952398E+01
  15    0.353936899664065663E+00    0.111606733622357221E+00
  16    0.957644052871813978E+00    0.204972776443558102E+00
  17    0.241465279909947428E+00    0.791719028816313397E-01
  18    0.999604507317731095E+00    0.516810409119632608E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.163373412637241783E+00
   2    0.265755750979332950E+01
   3    0.222047806532112250E-01
   4    0.117619581288551855E+01
   5    0.779389076385532120E+00
   6    0.113849422320053018E+00
   7    0.402239500185868515E+01
   8    0.255304275065964328E-01
   9    0.824423206629099070E+00
  10    0.770383323176022872E+00
  11    0.167888497697841110E+01
  12    0.161538257838455657E+01
  13    0.142531082593556002E+01
  14    0.116024766999148155E+00
  15    0.305504993428973470E+00
  16    0.940308117383724884E+00
  17    0.234847665015198576E+00
  18    0.122578670876733931E+01

MAP Parameters
Dim No.        Parameter
   1    0.152594766761598222E+00
   2    0.305350918581939190E+01
   3    0.210083851336977795E-01
   4    0.100194817112267143E+01
   5    0.747619269362605809E+00
   6    0.826964580920612341E-01
   7    0.433686737194055105E+01
   8    0.218675551311461672E-01
   9    0.108989996378548470E+01
  10    0.763566998843791422E+00
  11    0.392665803878229092E+01
  12    0.264612878995688305E+00
  13    0.107221640447690947E+00
  14    0.837340833057990963E+01
  15    0.310596553901585359E+00
  16    0.100735255769388177E+01
  17    0.179344450720169968E+00
  18    0.130993566388094163E+01
