Nested Sampling Global Log-Evidence           :   -0.100907340531652466E+03  +/-    0.987511851934659984E-01
Nested Importance Sampling Global Log-Evidence:   -0.102913404396573497E+03  +/-    0.101954036769188627E+00

Dim No.       Mean        Sigma
   1    0.197987949234597616E+00    0.596467506770118616E-01
   2    0.232488003442868685E+01    0.406974593513781902E+00
   3    0.224733406967938844E-01    0.205027505541120932E-02
   4    0.106001197878836484E+01    0.143334108086370954E+00
   5    0.740994315805557968E+00    0.486686226688539531E-01
   6    0.142958109370163511E+00    0.329609185424788384E-01
   7    0.337100780929006794E+01    0.910201640078184160E+00
   8    0.226679620669698947E-01    0.205580678658249172E-02
   9    0.997463517147475831E+00    0.164092958770606867E+00
  10    0.710685372489835987E+00    0.375065103494735819E-01
  11   -0.926251116891176757E-01    0.331283311033853556E+01
  12    0.111383129485561660E+01    0.497899681851607268E+00
  13    0.114006280171506247E+01    0.650043205894576870E+00
  14    0.493908133689713669E+01    0.276521016774613360E+01
  15    0.405797266027034420E+00    0.119657660664455712E+00
  16    0.794472521663302400E+00    0.102831310229175479E+00
  17    0.325525685046181457E+00    0.453744930778403541E-01
  18    0.121382006554394906E+01    0.583528441460959280E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.129462909834278245E+00
   2    0.272420105333672957E+01
   3    0.192789879457648874E-01
   4    0.120141829472150108E+01
   5    0.705866200321349946E+00
   6    0.113215577309385168E+00
   7    0.255640878404993455E+01
   8    0.215444987697882839E-01
   9    0.127212573270433604E+01
  10    0.670247054161430045E+00
  11    0.229278838385680217E+01
  12    0.169593664971787206E+01
  13    0.165497212782929704E+01
  14    0.558644635725413963E+01
  15    0.298530387718205892E+00
  16    0.842713703583215734E+00
  17    0.299979391443804588E+00
  18    0.706606590312043870E+00

MAP Parameters
Dim No.        Parameter
   1    0.275803096868314779E+00
   2    0.208414622664203364E+01
   3    0.237293313665523017E-01
   4    0.821801490494436182E+00
   5    0.701057725632557638E+00
   6    0.157950616527552629E+00
   7    0.436853923719880388E+01
   8    0.232177017843631581E-01
   9    0.106003581707672145E+01
  10    0.736767064847004938E+00
  11   -0.285607421880646584E+01
  12    0.949079470864684360E+00
  13    0.150191659541252598E+01
  14    0.506698313472029849E+01
  15    0.609447483427629000E+00
  16    0.731200464819494189E+00
  17    0.333750439035416624E+00
  18    0.199691939955292930E+01
