Nested Sampling Global Log-Evidence           :   -0.107571833158665612E+03  +/-    0.104657195861863492E+00
Nested Importance Sampling Global Log-Evidence:   -0.109746095444058383E+03  +/-    0.246568659328822333E-01

Dim No.       Mean        Sigma
   1    0.157688333083617349E+00    0.464624009610193345E-01
   2    0.291333293360398615E+01    0.345262217033023566E+00
   3    0.223451290641072040E-01    0.207980895020582097E-02
   4    0.109490289005967290E+01    0.131007944293252632E+00
   5    0.728207464583281561E+00    0.498363763689360778E-01
   6    0.938045640377569295E-01    0.105803873317671174E-01
   7    0.334456623171387912E+01    0.909803300136226123E+00
   8    0.230789645102033349E-01    0.199111439173526358E-02
   9    0.100436341626132219E+01    0.165111016566958452E+00
  10    0.681303543934721256E+00    0.236610633953079560E-01
  11    0.171019463047385134E+00    0.330171657834576582E+01
  12    0.109091254301870966E+01    0.579227290721148536E+00
  13    0.103092778594067913E+01    0.619080173979386639E+00
  14    0.499180375643591034E+01    0.276156875235464216E+01
  15    0.344639651088712473E+00    0.103482509768523426E+00
  16    0.949068543028762091E+00    0.951208924076358125E-01
  17    0.252233240177986873E+00    0.253555427802421539E-01
  18    0.910690197882458197E+00    0.421126224272342198E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.809276360120498861E-01
   2    0.334256664575235973E+01
   3    0.206581398045991710E-01
   4    0.129109456020418412E+01
   5    0.677044114953909815E+00
   6    0.945910465498749492E-01
   7    0.287000502598415164E+01
   8    0.252058672642328438E-01
   9    0.125503702848518506E+01
  10    0.685999737115805308E+00
  11    0.327991983400439402E+01
  12    0.165376138895260105E+01
  13    0.202033643870173574E+01
  14    0.899549918590810016E+01
  15    0.221614905366784104E+00
  16    0.840347662132530093E+00
  17    0.254564436649654946E+00
  18    0.705580048634654955E+00

MAP Parameters
Dim No.        Parameter
   1    0.126389797980940632E+00
   2    0.300822546475707320E+01
   3    0.239174208875361990E-01
   4    0.108829103649998671E+01
   5    0.717836626824616353E+00
   6    0.991671195792541427E-01
   7    0.266874424877075089E+01
   8    0.201212589866582685E-01
   9    0.788979033414053177E+00
  10    0.680241727337727919E+00
  11   -0.494557380924062784E+01
  12    0.192208065720156984E+01
  13    0.816780935182814805E+00
  14    0.221299596398486020E+01
  15    0.291694749037156364E+00
  16    0.881052112953307431E+00
  17    0.257793283244381333E+00
  18    0.580080629765516109E+00
