Nested Sampling Global Log-Evidence           :   -0.112280187159475020E+03  +/-    0.104673281602434914E+00
Nested Importance Sampling Global Log-Evidence:   -0.114210373426807578E+03  +/-    0.386339195961312512E-01

Dim No.       Mean        Sigma
   1    0.165419672951548080E+00    0.465149896230476964E-01
   2    0.285309593696935337E+01    0.316145525120535342E+00
   3    0.224855854743366591E-01    0.206604803942152856E-02
   4    0.105753704889811906E+01    0.132149556833151077E+00
   5    0.731383323979986066E+00    0.494984816419496987E-01
   6    0.981706849951608229E-01    0.105055499191177588E-01
   7    0.333828402933214718E+01    0.902496962876618625E+00
   8    0.233369061169144236E-01    0.193337263897122341E-02
   9    0.100154853513658249E+01    0.165440426200660934E+00
  10    0.688429657948415596E+00    0.242629533818516790E-01
  11    0.514865334941610325E-01    0.328678656005076553E+01
  12    0.107816584329802523E+01    0.572089126191480890E+00
  13    0.956711879320736536E+00    0.605159214791115230E+00
  14    0.503878629313094084E+01    0.277270306684313494E+01
  15    0.356648320689215537E+00    0.104111376127716510E+00
  16    0.934184087487078596E+00    0.918010337834639784E-01
  17    0.256912293709721684E+00    0.256425682865623096E-01
  18    0.933994731547305834E+00    0.426948108404079596E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.138580085492515492E+00
   2    0.270849353776961532E+01
   3    0.207757319081783021E-01
   4    0.116259934479400617E+01
   5    0.680606209177725407E+00
   6    0.100862813885330957E+00
   7    0.218260546109178843E+01
   8    0.262300764117047759E-01
   9    0.125320851819071311E+01
  10    0.691540582536057102E+00
  11    0.601168159109331413E+00
  12    0.187725568197734560E+01
  13    0.945460574604713777E+00
  14    0.691247886502478437E+01
  15    0.344013993384606642E+00
  16    0.836684578413862012E+00
  17    0.265757734862534123E+00
  18    0.520376272470698176E+00

MAP Parameters
Dim No.        Parameter
   1    0.950357299448970211E-01
   2    0.337601367604414904E+01
   3    0.260892136924096782E-01
   4    0.126960488110257375E+01
   5    0.688628383572239877E+00
   6    0.861170988005859339E-01
   7    0.357345248585116604E+01
   8    0.207387434900034202E-01
   9    0.108269731638826294E+01
  10    0.678856400085943501E+00
  11    0.329443032536475400E+01
  12    0.196084301877583300E+01
  13    0.172586370419489232E+01
  14    0.460826597656198089E+01
  15    0.255425204281672091E+00
  16    0.911189418318750444E+00
  17    0.231868866221283582E+00
  18    0.910834269108500738E+00
