Nested Sampling Global Log-Evidence           :   -0.976299999999971746E+01  +/-    0.988078944214464960E-01
Nested Importance Sampling Global Log-Evidence:   -0.142787993155934441E+02  +/-    0.404396449996024393E-01

Dim No.       Mean        Sigma
   1    0.800642471881030660E+00    0.999689630069686003E-01
   2    0.295135877188044482E+01    0.612977573343956528E+00
   3    0.224174701814821228E-01    0.189979958262202027E-02
   4    0.936690123379175343E+00    0.136163069273786602E+00
   5    0.714760279335365567E+00    0.412555771881922065E-01
   6    0.554692623033375756E-01    0.289813667972777279E-01
   7    0.327435426728299950E+01    0.799607806740074922E+00
   8    0.226911675774112351E-01    0.189468826644378875E-02
   9    0.101161285526894207E+01    0.143655420041186116E+00
  10    0.727380776977980648E+00    0.457871937493233086E-01
  11    0.231300819444155648E+00    0.298868872116986140E+01
  12    0.238773232959217996E+01    0.156773820779871564E+01
  13    0.252282160649039122E+01    0.273974997831647527E+00
  14    0.254693339318586887E+01    0.277302032512603103E+00
  15    0.583042600336937042E-04    0.256119016955497463E-03
  16    0.104778397222128744E-04    0.265270927284882898E-03
  17   -0.274658634160468984E-01    0.512140145302137501E-01
  18   -0.144578787772315451E-01    0.309937230570192686E-01
  19    0.206835097985422871E-01    0.337688151599427819E-01
  20   -0.190131454372243327E-02    0.176237124140637795E-01
  21   -0.233783043142117477E-02    0.159468914051057280E-01
  22    0.108038147459722533E+01    0.557894968855826789E+00
  23    0.140027743687273620E+01    0.539615015663595265E+00
  24    0.170026894575337068E+00    0.727864019385613265E-01
  25    0.639200687678935786E+00    0.426284738978087330E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.812151017998949509E+00
   2    0.205717785901618289E+01
   3    0.208635593758477317E-01
   4    0.117189596717910249E+01
   5    0.788127808820408782E+00
   6    0.370558729861622388E-01
   7    0.352133573390967003E+01
   8    0.220844971639952044E-01
   9    0.895013642815096322E+00
  10    0.671186709743184728E+00
  11   -0.213062394899330032E+01
  12    0.496689122332806932E+01
  13    0.230728624481013167E+01
  14    0.298054335671732495E+01
  15   -0.363974099587789169E-04
  16   -0.343808887587998405E-03
  17   -0.228699598944202553E-01
  18    0.250279184643895508E-01
  19   -0.642402038452268009E-02
  20   -0.678067004662302741E-03
  21    0.554158455596776706E-02
  22    0.170310952607147015E+01
  23    0.178724032409024947E+01
  24    0.154454990954185828E+00
  25    0.715239728026747290E+00

MAP Parameters
Dim No.        Parameter
   1    0.695374119469093555E+00
   2    0.363954129754375977E+01
   3    0.232985037532492147E-01
   4    0.889963425628382376E+00
   5    0.649035726047918815E+00
   6    0.317635372572619215E-01
   7    0.383048364240092187E+01
   8    0.248683579511537502E-01
   9    0.773628948297230279E+00
  10    0.660664698363425007E+00
  11   -0.551502647023025450E+01
  12    0.338207909626961367E+01
  13    0.297559381969665271E+01
  14    0.307935940334838687E+01
  15    0.323672804021081051E-03
  16    0.101678116525385056E-03
  17   -0.594598580883617250E-01
  18   -0.643608042340102771E-01
  19   -0.343333073870164401E-01
  20    0.126112622957266773E-03
  21   -0.307331552423084978E-02
  22    0.334749850372962177E+00
  23    0.174160906669418369E+01
  24    0.807817127999952006E-01
  25    0.621183083244017498E+00
