Nested Sampling Global Log-Evidence           :   -0.111293636806142572E+03  +/-    0.136846565513838059E+00
Nested Importance Sampling Global Log-Evidence:   -0.115922713203644022E+03  +/-    0.256891278010764265E-01

Dim No.       Mean        Sigma
   1    0.151202062844366464E+00    0.265198587648723637E-01
   2    0.304491086488108698E+01    0.137917047247418743E-01
   3    0.226781139978978717E-01    0.209967205238010581E-02
   4    0.964680713615049590E+00    0.416371039708870409E-02
   5    0.744574209678872445E+00    0.482506160640621753E-01
   6    0.956451540356088870E-01    0.951626370557669826E-02
   7    0.337142271016501516E+01    0.920784121576738723E+00
   8    0.221741565874968398E-01    0.204284494246770570E-02
   9    0.100261413858294657E+01    0.167047754228041051E+00
  10    0.758219044019222244E+00    0.423638825078064690E-01
  11    0.689313135783893444E-01    0.336743315426187717E+01
  12    0.138490111556452722E+01    0.946797684230897718E+00
  13    0.245184397379978636E+01    0.296820517816018203E+00
  14    0.256350973674000704E+01    0.313915312872279473E+00
  15   -0.178406730657645630E-05    0.186001830433472838E-03
  16   -0.615690712230594118E-05    0.192236521143266406E-03
  17   -0.258713182215876865E-01    0.603213282244749807E-01
  18   -0.256375522178281558E-01    0.309090203219405113E-01
  19    0.244437757185426742E-01    0.299369913240858723E-01
  20    0.482700569950171923E-02    0.190577600362104131E-01
  21   -0.829147787482024056E-03    0.181809328194588379E-01
  22    0.315346995350504034E+00    0.507521913513285239E-01
  23    0.961444633671924676E+00    0.104367979450231602E+00
  24    0.208755748236123695E+00    0.422216294860813177E-01
  25    0.959814583016783240E+00    0.439854914925289053E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.167508487206643214E+00
   2    0.304883283669938843E+01
   3    0.258293152172678619E-01
   4    0.965447826537377152E+00
   5    0.664053776282817032E+00
   6    0.895065793205995636E-01
   7    0.342329834164144131E+01
   8    0.195287612272649728E-01
   9    0.122256328576526618E+01
  10    0.765770040090926307E+00
  11    0.446692106190609906E+01
  12    0.306054746369646935E+01
  13    0.200846445111574079E+01
  14    0.301565801484772944E+01
  15   -0.153245254592913091E-03
  16    0.118878838218543833E-03
  17   -0.115374540185477811E+00
  18   -0.668621090465505441E-01
  19   -0.111405000787369868E-01
  20    0.192175016674835178E-01
  21    0.170371557500951856E-01
  22    0.438440108320809763E+00
  23    0.972706356023865015E+00
  24    0.185939021959156153E+00
  25    0.954036221704232634E+00

MAP Parameters
Dim No.        Parameter
   1    0.123360182805661772E+00
   2    0.306803170660724867E+01
   3    0.220523127581312463E-01
   4    0.961882693132714239E+00
   5    0.747190687939737974E+00
   6    0.101848967692905995E+00
   7    0.415023554921372817E+01
   8    0.211592090321822482E-01
   9    0.105570208019886258E+01
  10    0.720770206702688210E+00
  11   -0.391265533093923423E+01
  12    0.678423580915313629E+00
  13    0.201949658621208084E+01
  14    0.209791741018897504E+01
  15   -0.187475612471604564E-03
  16    0.102928900015756219E-03
  17   -0.762807865013231251E-01
  18   -0.386547167371594919E-01
  19    0.499790827966517387E-01
  20   -0.223370965885975395E-01
  21   -0.139891698694871794E-01
  22    0.260458674679269364E+00
  23    0.867560971139726189E+00
  24    0.236777443976148694E+00
  25    0.136377160152740706E+01
