Nested Sampling Global Log-Evidence           :   -0.115145167382552273E+03  +/-    0.138832011095330471E+00
Nested Importance Sampling Global Log-Evidence:   -0.119848102000833393E+03  +/-    0.337270109330570500E-01

Dim No.       Mean        Sigma
   1    0.158864138040955616E+00    0.244390780071913408E-01
   2    0.304480345459764656E+01    0.137963104947652036E-01
   3    0.225870087807284077E-01    0.210642956524551830E-02
   4    0.964657414881341269E+00    0.415281498499090167E-02
   5    0.739740913001553424E+00    0.489401046264773473E-01
   6    0.898328644786049735E-01    0.474345852483219234E-02
   7    0.333985228246892740E+01    0.924121982030693623E+00
   8    0.232695948388660298E-01    0.188771947806042019E-02
   9    0.100121880244074823E+01    0.168653067287730801E+00
  10    0.792006069304390437E+00    0.229226353607925280E-01
  11    0.767257875634567293E-01    0.335447675867914175E+01
  12    0.142738631564618856E+01    0.955999771436263357E+00
  13    0.245209556620362257E+01    0.300295362689845913E+00
  14    0.256517722075854770E+01    0.318818114565387389E+00
  15   -0.118501000047610679E-05    0.189455989678998443E-03
  16   -0.328144702466265796E-05    0.192966888125624918E-03
  17   -0.255797121088946131E-01    0.607333100881109617E-01
  18   -0.253773498528226914E-01    0.308825875209204140E-01
  19    0.239509157496532697E-01    0.302205662512433325E-01
  20    0.417984854314151777E-02    0.194474199552690588E-01
  21   -0.137464844721874057E-02    0.182214029809646683E-01
  22    0.333005592389046035E+00    0.451975808347415964E-01
  23    0.990435056120790858E+00    0.945979703453462134E-01
  24    0.181112010558975772E+00    0.184404776267048029E-01
  25    0.902955348388522983E+00    0.417171362428717274E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.157245089116090170E+00
   2    0.303983851571857588E+01
   3    0.229389394741066135E-01
   4    0.967035674432241477E+00
   5    0.686909329341893304E+00
   6    0.867717809094967624E-01
   7    0.376351635479622537E+01
   8    0.249952762369408388E-01
   9    0.733240369248190471E+00
  10    0.819579938251896567E+00
  11    0.160887751130788015E+01
  12    0.219184154107647089E+01
  13    0.234289743034456999E+01
  14    0.219305029912531202E+01
  15   -0.488447813345497216E-04
  16    0.126153271688297887E-04
  17   -0.828185104322617105E-01
  18   -0.572902542278173263E-01
  19   -0.159980688345683075E-02
  20    0.317036322279181451E-01
  21    0.113652108528496665E-01
  22    0.381871689862097574E+00
  23    0.964911686782241262E+00
  24    0.166391515633844717E+00
  25    0.868158680276525430E+00

MAP Parameters
Dim No.        Parameter
   1    0.126870295528632826E+00
   2    0.304162929039312679E+01
   3    0.221218520814972230E-01
   4    0.969194395435681422E+00
   5    0.642238613475466846E+00
   6    0.916843934164572327E-01
   7    0.190462231882713007E+01
   8    0.239586256781257681E-01
   9    0.124406153590248847E+01
  10    0.787279456580318837E+00
  11    0.209828746603232474E+01
  12    0.961139017772319804E+00
  13    0.229052012264777094E+01
  14    0.283102720090538496E+01
  15   -0.618237192017737861E-04
  16    0.409775054425864775E-03
  17    0.271096031219401484E-01
  18   -0.615034825310480232E-01
  19    0.103174994163269945E-01
  20    0.277765196674221657E-01
  21    0.889602600222585971E-02
  22    0.361218973230695684E+00
  23    0.843098354558899477E+00
  24    0.186578493980690319E+00
  25    0.443057948319888040E+00
