Nested Sampling Global Log-Evidence           :   -0.100712288207464383E+03  +/-    0.919148844327743048E-01
Nested Importance Sampling Global Log-Evidence:   -0.104607514166217328E+03  +/-    0.189673037616655271E-01

Dim No.       Mean        Sigma
   1    0.350512418362612210E+00    0.177213212331223668E+00
   2    0.273351870604590319E+01    0.368280228050241187E+00
   3    0.225499935174525538E-01    0.205398324758988837E-02
   4    0.855331792716109707E+00    0.112746372519945057E+00
   5    0.734572253762819094E+00    0.484231146949392691E-01
   6    0.879350209452153947E-01    0.134218814908232034E-01
   7    0.335913735233972011E+01    0.904526541880464663E+00
   8    0.223207678595391326E-01    0.199602511490131222E-02
   9    0.997700088461312196E+00    0.162855088397118708E+00
  10    0.757178608284596377E+00    0.362402030958966573E-01
  11    0.348913079432210879E-01    0.325371616924044549E+01
  12    0.181425064513044543E+01    0.102742219314154926E+01
  13    0.244254492331173267E+01    0.286852878604270334E+00
  14    0.256400365945990227E+01    0.307829172654316030E+00
  15    0.555123659963205153E-06    0.181001243916965480E-03
  16    0.196174782380356972E-05    0.182446467321724267E-03
  17   -0.383539378649507198E-01    0.557156524441191139E-01
  18   -0.254728988333814410E-01    0.291371396551151664E-01
  19    0.263039412576167343E-01    0.291331675263360561E-01
  20    0.434611431446429563E-02    0.189287036446921415E-01
  21   -0.196153661129896961E-02    0.178058662107127320E-01
  22    0.698554900027799186E+00    0.342673926011162477E+00
  23    0.106820815294829763E+01    0.154972135259698496E+00
  24    0.194581769996750115E+00    0.373431242783328343E-01
  25    0.890822180553066612E+00    0.415102910148775761E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301876293364541637E+00
   2    0.304665412925774870E+01
   3    0.259171288377961009E-01
   4    0.701710994648762520E+00
   5    0.643191950472612128E+00
   6    0.767385341643127550E-01
   7    0.300800951267621874E+01
   8    0.223425109720678666E-01
   9    0.120569120502006677E+01
  10    0.777123165073040356E+00
  11    0.599382431009691530E+01
  12    0.269895060550339494E+01
  13    0.234931737137084529E+01
  14    0.274779004774351154E+01
  15    0.198596132695873489E-04
  16   -0.936680130071919879E-04
  17   -0.788152034873144391E-01
  18   -0.558813985860495271E-01
  19    0.161355250668518690E-01
  20    0.353708796937144479E-01
  21    0.889430698955244459E-03
  22    0.792353595882062556E+00
  23    0.110336652031426108E+01
  24    0.164063083296857537E+00
  25    0.666724623138255867E+00

MAP Parameters
Dim No.        Parameter
   1    0.241950652201691402E+00
   2    0.299945191784436194E+01
   3    0.252063909953747188E-01
   4    0.775583785673060633E+00
   5    0.800734674507738609E+00
   6    0.863748491629700854E-01
   7    0.330598220460299519E+01
   8    0.214748471204610179E-01
   9    0.822416646015732722E+00
  10    0.819763759986248619E+00
  11   -0.580087385095486141E+01
  12    0.176428417212431299E+01
  13    0.224957153948082933E+01
  14    0.241106037866427725E+01
  15   -0.197589631936737119E-03
  16    0.681115506184610218E-04
  17   -0.461201564037996836E-02
  18   -0.127174341317533093E-01
  19    0.460865137119818857E-02
  20    0.442621694528903126E-02
  21   -0.803548679116711240E-02
  22    0.416667241596107019E+00
  23    0.111375877764823894E+01
  24    0.160487605028328817E+00
  25    0.734470729157866709E+00
