Nested Sampling Global Log-Evidence           :   -0.985230362195929814E+02  +/-    0.849404897423236965E-01
Nested Importance Sampling Global Log-Evidence:   -0.102363695639144311E+03  +/-    0.420969190542532096E-01

Dim No.       Mean        Sigma
   1    0.356835650223022827E+00    0.192096303145372016E+00
   2    0.307473873478743931E+01    0.724778261907052856E+00
   3    0.225264680283756950E-01    0.199364058099719618E-02
   4    0.862979663687710952E+00    0.117687930205986058E+00
   5    0.732821977119587409E+00    0.479122583748523290E-01
   6    0.745671253350776997E-01    0.413840567541704646E-01
   7    0.330162364651678830E+01    0.876077986757910487E+00
   8    0.224633509061302819E-01    0.197689088492524747E-02
   9    0.996642526204353452E+00    0.159825699840320024E+00
  10    0.729052373811299614E+00    0.478285890362829674E-01
  11   -0.342998652356683561E-02    0.322157193058829661E+01
  12    0.178534256749990905E+01    0.986924385754985090E+00
  13    0.243928256128940735E+01    0.279356262148439172E+00
  14    0.257205865289644819E+01    0.301785284421308420E+00
  15    0.637603352677433580E-06    0.174617016135899893E-03
  16   -0.198982139870609037E-05    0.178331335270559088E-03
  17   -0.366337983124594563E-01    0.531512191898058442E-01
  18   -0.269293965658133350E-01    0.275975604972716372E-01
  19    0.253203660032975744E-01    0.284037620165626045E-01
  20    0.448782104638686778E-02    0.187430988624530219E-01
  21   -0.159893046890721984E-02    0.173372831122495033E-01
  22    0.714288586719713292E+00    0.368770144943680434E+00
  23    0.132317384435662633E+01    0.509088534937908066E+00
  24    0.185924970712623622E+00    0.823986069694626483E-01
  25    0.706857965849495340E+00    0.459153013360358186E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.154013832253300093E+00
   2    0.371023805905842075E+01
   3    0.257690946201827309E-01
   4    0.763354691341116220E+00
   5    0.789277176091561117E+00
   6    0.699933472218208369E-01
   7    0.398763954969601997E+01
   8    0.226927489840248534E-01
   9    0.118808655858952350E+01
  10    0.698108463580676464E+00
  11    0.431397031506396900E+01
  12    0.201185088253193101E+01
  13    0.237834036136592220E+01
  14    0.272527070517458680E+01
  15   -0.195175748560829114E-04
  16   -0.477285366375405310E-05
  17   -0.693966164640934524E-01
  18   -0.475153047213458107E-01
  19    0.102431546018249692E-01
  20    0.352596237434679646E-01
  21   -0.295562381536111987E-02
  22    0.289629364008432533E+00
  23    0.122441401050543797E+01
  24    0.191503422251638661E+00
  25    0.961877495891383605E+00

MAP Parameters
Dim No.        Parameter
   1    0.342231463889886622E+00
   2    0.450050170397100047E+01
   3    0.219706774555206846E-01
   4    0.823154823028880434E+00
   5    0.712299180570039825E+00
   6    0.166082882866395859E-01
   7    0.236395178122054928E+01
   8    0.216654808734593682E-01
   9    0.123978961175365310E+01
  10    0.773997639623220879E+00
  11   -0.508284906290379013E+01
  12    0.417123114480171608E+01
  13    0.256499837274275544E+01
  14    0.272169125751154306E+01
  15    0.182961176065092558E-03
  16    0.243025309820621752E-03
  17   -0.585334964861274551E-01
  18   -0.488570448578806715E-01
  19   -0.101011480386753727E-01
  20    0.329068899261396805E-01
  21    0.163377754027183159E-01
  22    0.719092948062333925E+00
  23    0.265684085144537985E+01
  24    0.649636146847294427E-01
  25    0.122060346879269879E+00
