Nested Sampling Global Log-Evidence           :   -0.978126681897913812E+02  +/-    0.833365808554693416E-01
Nested Importance Sampling Global Log-Evidence:   -0.101252575873491551E+03  +/-    0.151115815948067583E+00

Dim No.       Mean        Sigma
   1    0.346540512104553999E+00    0.181986960308045037E+00
   2    0.308698807139172082E+01    0.740987956319759555E+00
   3    0.226712877732271820E-01    0.200546885278435729E-02
   4    0.862324655630578696E+00    0.117840364793256283E+00
   5    0.735330912064593334E+00    0.477887774251224556E-01
   6    0.746712834819756588E-01    0.412857391362938878E-01
   7    0.332594382143362965E+01    0.881074201925263534E+00
   8    0.225162121405460616E-01    0.201432366831705420E-02
   9    0.100447757546624761E+01    0.160474439788092782E+00
  10    0.730863419145469040E+00    0.477224730361251182E-01
  11    0.182373944406621002E+01    0.102208397353885760E+01
  12    0.246148910267140453E+01    0.286179674085058899E+00
  13    0.255649795352792175E+01    0.301125057670122709E+00
  14    0.192140148084710135E-05    0.172839915017887919E-03
  15   -0.383062547873377623E-01    0.559017793305986652E-01
  16   -0.272918634424105973E-01    0.290362212010148342E-01
  17    0.238152463984263804E-01    0.286538083996392065E-01
  18    0.406523007107636135E-02    0.185350257283031679E-01
  19   -0.886977543534523869E-03    0.175479971448238015E-01
  20    0.690876269444027691E+00    0.349460860255350336E+00
  21    0.131845671514286722E+01    0.496977805422921803E+00
  22    0.184742272010852415E+00    0.802709770887477247E-01
  23    0.715503940593434695E+00    0.463049697029587315E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.143424263519291911E+00
   2    0.354347722897162765E+01
   3    0.203023697676055007E-01
   4    0.944564255758707061E+00
   5    0.694238830555177544E+00
   6    0.605034219611906635E-01
   7    0.359077680086615736E+01
   8    0.260026166398420258E-01
   9    0.107107210294582322E+01
  10    0.746129950059943092E+00
  11    0.249709639592017396E+01
  12    0.224798615640833654E+01
  13    0.217679627292076017E+01
  14    0.620020907013061869E-04
  15   -0.814602237695717518E-01
  16   -0.546235757370291328E-01
  17    0.685732276873363134E-02
  18    0.274546764867173651E-01
  19    0.324488222082393307E-01
  20    0.341041150750518662E+00
  21    0.117841472182987905E+01
  22    0.156545041020303227E+00
  23    0.654225067516351122E+00

MAP Parameters
Dim No.        Parameter
   1    0.874769569413264891E+00
   2    0.276477975921145180E+01
   3    0.203052926622791508E-01
   4    0.770458082905734920E+00
   5    0.796477566626303535E+00
   6    0.771208628831021870E-01
   7    0.321982874716557887E+01
   8    0.246877126282617140E-01
   9    0.117776989619698180E+01
  10    0.671673169851075724E+00
  11    0.289246657299926646E+01
  12    0.201260682468177388E+01
  13    0.235669410858230943E+01
  14    0.216152723375044814E-03
  15   -0.939808443580470027E-01
  16   -0.368530738544403380E-01
  17   -0.131860452729806316E-01
  18    0.322397673179666763E-01
  19    0.119326230894977042E-01
  20    0.141196746414026775E+01
  21    0.133766438824830969E+01
  22    0.227094938739617641E+00
  23    0.685888793035640876E+00
