Nested Sampling Global Log-Evidence           :   -0.108187339159254591E+03  +/-    0.103436873495497794E+00
Nested Importance Sampling Global Log-Evidence:   -0.112187240771082188E+03  +/-    0.153112837600528989E+00

Dim No.       Mean        Sigma
   1    0.279691736014702819E+00    0.108888709736351411E+00
   2    0.216585474868852312E+01    0.290822821139540721E+00
   3    0.225086580925198156E-01    0.207374942428727345E-02
   4    0.894816772175578645E+00    0.124643706314792782E+00
   5    0.691675976070042275E+00    0.398983309478264797E-01
   6    0.122809015820584469E+00    0.107687956545979464E-01
   7    0.336825402393537532E+01    0.908860787312055884E+00
   8    0.232980653626002135E-01    0.194863718440373298E-02
   9    0.100435947064547726E+01    0.166503135521426843E+00
  10    0.692047902084324207E+00    0.179081630658065559E-01
  11   -0.183155850101261071E-01    0.332048169808955640E+01
  12    0.150850712502793094E+01    0.887646431791760504E+00
  13    0.250811759393266120E+01    0.304144038039710796E+00
  14    0.256251919658375327E+01    0.310751835827957124E+00
  15    0.402225710461026675E-05    0.182174160163844624E-03
  16    0.353276660026112316E-05    0.186235326639631665E-03
  17   -0.318246822751329511E-01    0.568610488756811222E-01
  18   -0.219533357329612620E-01    0.303952466488405272E-01
  19    0.272691911876679176E-01    0.301515692413149745E-01
  20    0.152278788181901001E-02    0.193375993839038224E-01
  21   -0.433243005668764846E-02    0.174782086308827404E-01
  22    0.643098994295474569E+00    0.256814788079433864E+00
  23    0.754193289245492893E+00    0.400283429284954834E-01
  24    0.304724543212456511E+00    0.154984995790875858E-01
  25    0.110496285858233967E+01    0.502313577391172661E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.345133887448231869E+00
   2    0.217388065854024326E+01
   3    0.255213558718942468E-01
   4    0.718931434696241101E+00
   5    0.640158215997889024E+00
   6    0.124860601198343538E+00
   7    0.434767024883803899E+01
   8    0.245602987135694062E-01
   9    0.832111564662783021E+00
  10    0.701695237250323345E+00
  11    0.549913161502347947E+01
  12    0.268225446570191828E+01
  13    0.292074314732606588E+01
  14    0.289306443842806527E+01
  15   -0.310218339420011754E-04
  16    0.384973023618014705E-04
  17   -0.912022258493068727E-01
  18   -0.446678409579852054E-01
  19    0.199302201235954379E-01
  20    0.171934233502385805E-01
  21    0.313560617619425691E-01
  22    0.904472778412694578E+00
  23    0.745434930755152103E+00
  24    0.303468969655839804E+00
  25    0.152578097557181280E+01

MAP Parameters
Dim No.        Parameter
   1    0.227004394805123133E+00
   2    0.200771589871599110E+01
   3    0.191944128674703951E-01
   4    0.114394084143419406E+01
   5    0.643426474041210894E+00
   6    0.117069917400838594E+00
   7    0.398519227664285758E+01
   8    0.241588601077620188E-01
   9    0.918517320457798547E+00
  10    0.699953373743501528E+00
  11   -0.777420764109079343E+00
  12    0.189728175071599026E+01
  13    0.200066155816277558E+01
  14    0.301702205257624234E+01
  15    0.317169825388646060E-04
  16    0.317933398168186200E-03
  17   -0.525328384055513686E-02
  18   -0.360863462428462067E-01
  19    0.328617448992721273E-03
  20    0.142446475651810539E-02
  21   -0.201674746010896619E-01
  22    0.594686518280549858E+00
  23    0.744862656221332298E+00
  24    0.288260395074051379E+00
  25    0.126581292800072087E+01
