Nested Sampling Global Log-Evidence           :   -0.125671890456464382E+03  +/-    0.145939795765687663E+00
Nested Importance Sampling Global Log-Evidence:   -0.130039012950901906E+03  +/-    0.175673060261300959E-01

Dim No.       Mean        Sigma
   1    0.118099920267632982E+00    0.785936100832659162E-02
   2    0.304389175057868488E+01    0.142355889017563905E-01
   3    0.228679892261966534E-01    0.209082911747084533E-02
   4    0.964787867775430907E+00    0.430568981341345174E-02
   5    0.741297505873751539E+00    0.458105278925127410E-01
   6    0.114466635173749026E+00    0.173000230254711585E-02
   7    0.334286282738663720E+01    0.939536874552481471E+00
   8    0.231018881211104664E-01    0.206389781805800228E-02
   9    0.998159826917848214E+00    0.172786778639709315E+00
  10    0.685973207999628132E+00    0.145134234603734522E-01
  11   -0.430229762167165172E-01    0.343669366192283432E+01
  12    0.112020095084501747E+01    0.761400858096065281E+00
  13    0.251554327781513587E+01    0.311465547512017771E+00
  14    0.256239446756602529E+01    0.323779410107503773E+00
  15   -0.307419990993076303E-06    0.194944594074739064E-03
  16   -0.137231896482971001E-06    0.194665236236037819E-03
  17   -0.209835577007269590E-01    0.608923445246478887E-01
  18   -0.245407902158387113E-01    0.311331115618470704E-01
  19    0.248842003188971365E-01    0.306590007192906917E-01
  20    0.630151678305487795E-02    0.192867229058424731E-01
  21   -0.645301051592949890E-03    0.184663901521759342E-01
  22    0.258668673256701454E+00    0.294207325029266983E-01
  23    0.826680513934503036E+00    0.413271041184087931E-01
  24    0.292563682814527659E+00    0.973639711620565701E-02
  25    0.104956408070395035E+01    0.490477886264295115E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119193542330268173E+00
   2    0.304453329183830057E+01
   3    0.249354394014679147E-01
   4    0.968172455524612507E+00
   5    0.699914233751342429E+00
   6    0.116283387107745120E+00
   7    0.385218516763969188E+01
   8    0.261575004182378543E-01
   9    0.117439253169891766E+01
  10    0.703421254451012778E+00
  11   -0.439079376859673864E+01
  12    0.186433371373664869E+01
  13    0.261067498182170743E+01
  14    0.275650357426213644E+01
  15   -0.687458142378629452E-04
  16   -0.141239678692627036E-03
  17   -0.820592827020013849E-01
  18   -0.634595908897141459E-01
  19    0.976170188214857404E-02
  20    0.339142238434891538E-01
  21    0.211986318423515660E-01
  22    0.294212870439472529E+00
  23    0.810460726421121547E+00
  24    0.287874832012192050E+00
  25    0.128847648310597673E+01

MAP Parameters
Dim No.        Parameter
   1    0.107667623140098354E+00
   2    0.304298178652729367E+01
   3    0.248198716301284636E-01
   4    0.958952649459871909E+00
   5    0.648488169876049292E+00
   6    0.111737625020399606E+00
   7    0.257244898481002604E+01
   8    0.228458789895871588E-01
   9    0.876871414047749265E+00
  10    0.692798552081997920E+00
  11   -0.567523001514392877E+01
  12    0.838238199160421082E+00
  13    0.284398529980818360E+01
  14    0.237013676318391253E+01
  15    0.353454719608433179E-03
  16    0.235022255301209956E-03
  17    0.422789805871723323E-03
  18   -0.405298884951442173E-01
  19    0.279829896960049479E-01
  20    0.231039856076913144E-01
  21    0.155638992783226141E-01
  22    0.315043680428622130E+00
  23    0.744007720197550682E+00
  24    0.280399922122932410E+00
  25    0.602251128333420538E+00
