Nested Sampling Global Log-Evidence           :   -0.104171944780752256E+03  +/-    0.101769561881134216E+00
Nested Importance Sampling Global Log-Evidence:   -0.108512898214156081E+03  +/-    0.291676800622529854E-01

Dim No.       Mean        Sigma
   1    0.335523724770926512E+00    0.101567426519422938E+00
   2    0.198186796409123889E+01    0.210358656881427991E+00
   3    0.225995588837287313E-01    0.207284340905954578E-02
   4    0.831578549942016187E+00    0.102926585064606918E+00
   5    0.720409060322298123E+00    0.472601518334501355E-01
   6    0.151772260870997378E+00    0.196653695099139811E-01
   7    0.333542256940761739E+01    0.913710623076136708E+00
   8    0.225956095863935648E-01    0.206397405809132959E-02
   9    0.100191717151880844E+01    0.165801693474340289E+00
  10    0.710686727400028584E+00    0.219296268220845574E-01
  11   -0.356357559626316392E-01    0.332608440806873773E+01
  12    0.160054321727731574E+01    0.808352606375597027E+00
  13    0.247287147205507107E+01    0.301682247888659161E+00
  14    0.256543411135308963E+01    0.309349859063576205E+00
  15    0.250275269299557025E-05    0.184926825097816105E-03
  16   -0.350278620832163926E-05    0.184937885042299601E-03
  17   -0.396908890089937016E-01    0.543962709754750862E-01
  18   -0.230954813394393665E-01    0.304665106039146566E-01
  19    0.282947076656422727E-01    0.287805096861131725E-01
  20    0.451072817300056557E-02    0.192137975320351463E-01
  21   -0.222018961527597472E-02    0.178925690103175078E-01
  22    0.700715723671540891E+00    0.227279130452841066E+00
  23    0.735371431080509952E+00    0.377901290458559774E-01
  24    0.344291602886901027E+00    0.259487224816242860E-01
  25    0.125161800529149292E+01    0.587891446179578114E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.378073049948311979E+00
   2    0.194598325252040105E+01
   3    0.245282999254293962E-01
   4    0.816808483931858897E+00
   5    0.682574143522831189E+00
   6    0.149157032960717612E+00
   7    0.172134106550601196E+01
   8    0.242011534260993637E-01
   9    0.711958741183753907E+00
  10    0.719168709978948772E+00
  11   -0.450681287665090480E+01
  12    0.256957753390141974E+01
  13    0.211267112914195510E+01
  14    0.284951886649990405E+01
  15    0.471911747014924516E-04
  16   -0.113169033589488491E-03
  17   -0.102354680917863386E+00
  18   -0.601711796650160752E-01
  19    0.114869235266586850E-01
  20    0.104426488094139860E-01
  21   -0.286456027653129927E-01
  22    0.864122992703974524E+00
  23    0.739185662966503343E+00
  24    0.335183620507778723E+00
  25    0.438661877512423304E+00

MAP Parameters
Dim No.        Parameter
   1    0.351255568887220260E+00
   2    0.193566134649738752E+01
   3    0.238823025531233746E-01
   4    0.820352832108212970E+00
   5    0.688786211554115013E+00
   6    0.175555325543168522E+00
   7    0.348660062251557479E+01
   8    0.256799137956509327E-01
   9    0.833698729630980462E+00
  10    0.734982168015269277E+00
  11   -0.953621276301674925E+00
  12    0.180664216560594681E+01
  13    0.227377250220497196E+01
  14    0.305139043282363609E+01
  15   -0.677433258192297692E-04
  16   -0.189361013205610520E-03
  17   -0.904890008174787375E-01
  18   -0.261205946953799034E-01
  19    0.321101891882042134E-01
  20    0.291930644949992338E-01
  21   -0.152758048828676267E-01
  22    0.790718719865366571E+00
  23    0.727684781742444109E+00
  24    0.372520716576382693E+00
  25    0.121141869988733375E+01
