Nested Sampling Global Log-Evidence           :   -0.105108992686256144E+03  +/-    0.987922549491178498E-01
Nested Importance Sampling Global Log-Evidence:   -0.106388282973152130E+03  +/-    0.134616688789396845E-01

Dim No.       Mean        Sigma
   1    0.857090208044170021E-01    0.141285563927285498E-01
   2    0.374864953413568802E+01    0.438703386457956979E+00
   3    0.224191681442269496E-01    0.213313285424139229E-02
   4    0.104972290276723768E+01    0.129940880052431262E+00
   5    0.762529132923036923E+00    0.366990501348455830E-01
   6    0.940302804995341912E+00    0.770037558931132682E+00
   7    0.250045980869213658E+01    0.319060056288057614E+00
   8    0.163253527417015588E-05    0.198758638760632248E-03
   9    0.102239770093857896E+01    0.128593687881330215E+00
  10   -0.436723833934917708E-02    0.369050202039062844E-01
  11   -0.104447620797540521E-01    0.206218378987556399E-01
  12    0.115136463689098530E-01    0.212369298226419249E-01
  13    0.116401675132685482E-02    0.115952030131665496E-01
  14   -0.711042800975386765E-03    0.105489289195206289E-01
  15    0.189346477417038278E+00    0.380875102577325417E-01
  16    0.957536545891783497E+00    0.105432226583089761E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.796267821064978454E-01
   2    0.405130697935312956E+01
   3    0.248280337425645994E-01
   4    0.107321035244726115E+01
   5    0.807092518565641681E+00
   6    0.112717947030352494E+01
   7    0.276865364128771896E+01
   8   -0.994245150217633843E-05
   9    0.104558942420600176E+01
  10   -0.155901678325565257E-01
  11   -0.123979663169567350E-01
  12    0.176205355722979379E-01
  13   -0.428133156884907828E-02
  14    0.332908358657955927E-02
  15    0.161343599366111784E+00
  16    0.105202999128356778E+01

MAP Parameters
Dim No.        Parameter
   1    0.682815553696158178E-01
   2    0.431433744759599502E+01
   3    0.198663911793270746E-01
   4    0.866354913067258536E+00
   5    0.794316453881860007E+00
   6   -0.110594530748528364E+01
   7    0.282595575481136496E+01
   8    0.688413200584129734E-04
   9    0.828880862320959810E+00
  10    0.339092954745131153E-01
  11   -0.724652840734475029E-02
  12   -0.150715841178739041E-02
  13    0.502807185611473667E-02
  14   -0.146793020165275623E-01
  15    0.140730141385648128E+00
  16    0.102911391373539973E+01
