Nested Sampling Global Log-Evidence           :   -0.117385077759063364E+03  +/-    0.139242622500143048E+00
Nested Importance Sampling Global Log-Evidence:   -0.119145183933538135E+03  +/-    0.427337538961213015E-02

Dim No.       Mean        Sigma
   1    0.109376447577901811E+00    0.367552504272122870E-02
   2    0.304566820205407662E+01    0.141755541882728747E-01
   3    0.226041750251539629E-01    0.212281534870016305E-02
   4    0.965039571057474954E+00    0.436219173438567431E-02
   5    0.695990166569550706E+00    0.152113655221375946E-01
   6    0.828206954098275383E+00    0.676463097458792406E+00
   7    0.257527658276365301E+01    0.316988986339452217E+00
   8    0.391941172374292029E-05    0.195975058086453107E-03
   9    0.102292690196298186E+01    0.127144771106684346E+00
  10   -0.496174552927842235E-02    0.356624819889115666E-01
  11   -0.949285756429707472E-02    0.205970878550551413E-01
  12    0.128766518862965234E-01    0.213502260320304164E-01
  13    0.858838896038303348E-03    0.115899206050493822E-01
  14   -0.112548169743093311E-02    0.106314323067071576E-01
  15    0.274186994964594644E+00    0.159863363602552912E-01
  16    0.767391300483359684E+00    0.130008711633806551E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108285501557147737E+00
   2    0.304517346117973320E+01
   3    0.216433630383558173E-01
   4    0.963022256385641429E+00
   5    0.691223654657343034E+00
   6    0.761430227658767222E+00
   7    0.312801658347804423E+01
   8   -0.958255273677958205E-05
   9    0.111133418912685134E+01
  10   -0.132923541236177195E-01
  11   -0.121464689725010663E-01
  12    0.497206254617868493E-02
  13    0.132398202229067063E-02
  14    0.241987729395180123E-02
  15    0.273285255094137092E+00
  16    0.766853943715913866E+00

MAP Parameters
Dim No.        Parameter
   1    0.109803016399585784E+00
   2    0.304732075449751871E+01
   3    0.232724285321441772E-01
   4    0.967268467871296500E+00
   5    0.698523173305326317E+00
   6    0.549887374765275716E+00
   7    0.214626881149587678E+01
   8    0.160532640545117070E-03
   9    0.108838455453892213E+01
  10   -0.684358329430166668E-02
  11   -0.511883507267881718E-01
  12   -0.135288556438851043E-01
  13    0.204103959247317612E-01
  14   -0.143857553201626742E-01
  15    0.274052248713923752E+00
  16    0.767163748863086359E+00
