Nested Sampling Global Log-Evidence           :   -0.122483972608175833E+03  +/-    0.144095344778647688E+00
Nested Importance Sampling Global Log-Evidence:   -0.123717374380577638E+03  +/-    0.331128572629152884E-02

Dim No.       Mean        Sigma
   1    0.113074795406627335E+00    0.177714157267806804E-02
   2    0.304435169915894921E+01    0.140577431001269130E-01
   3    0.230609870752657847E-01    0.201481164572848417E-02
   4    0.964789104985383950E+00    0.438716793734365406E-02
   5    0.685411149688253896E+00    0.129536421179761094E-01
   6    0.102441239706070242E+01    0.575833466664640525E+00
   7    0.249704544073726575E+01    0.310698178279376791E+00
   8   -0.217073273739138908E-06    0.196866610935652621E-03
   9    0.102124422737725928E+01    0.128343541174710446E+00
  10   -0.107542387805375939E-01    0.356959815488414600E-01
  11   -0.113052044159700112E-01    0.201522568523634371E-01
  12    0.151574281737783482E-01    0.205126629930912005E-01
  13    0.265844244721374651E-02    0.115997284308848661E-01
  14   -0.323630783766392272E-03    0.105892983146331481E-01
  15    0.291281130469045746E+00    0.816824545915826629E-02
  16    0.778858753711879626E+00    0.892270694792390850E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112026533926791572E+00
   2    0.304301882546848290E+01
   3    0.207927015645467256E-01
   4    0.966392402525581007E+00
   5    0.671071996274406168E+00
   6    0.127968994751564047E+01
   7    0.215334291423392488E+01
   8    0.146911523898245536E-04
   9    0.104597788513294709E+01
  10   -0.102796961515102814E-01
  11   -0.308501671972442881E-02
  12    0.162015245664786922E-01
  13    0.350341602555893916E-02
  14    0.416920259158429229E-02
  15    0.296362915793504544E+00
  16    0.785185310160826710E+00

MAP Parameters
Dim No.        Parameter
   1    0.114479406173528087E+00
   2    0.304805421254501985E+01
   3    0.258140274361707868E-01
   4    0.960475560437606402E+00
   5    0.703315787963321282E+00
   6    0.342850616999472280E+00
   7    0.236147522811439758E+01
   8   -0.346654703562152553E-03
   9    0.913720784106497597E+00
  10    0.171268994379901451E-02
  11   -0.320572207989232444E-01
  12    0.347412976659666195E-01
  13    0.141559820968617106E-01
  14   -0.429224075312293132E-02
  15    0.284922039703223273E+00
  16    0.772188587040853247E+00
