Nested Sampling Global Log-Evidence           :   -0.113258821788386868E+03  +/-    0.109453344280820250E+00
Nested Importance Sampling Global Log-Evidence:   -0.114482902061939143E+03  +/-    0.201418584706905615E-01

Dim No.       Mean        Sigma
   1    0.112155335648712315E+00    0.111508859970205106E-01
   2    0.297355500559158292E+01    0.203914001379502358E+00
   3    0.227048392391630410E-01    0.213444219117098080E-02
   4    0.102994392033481286E+01    0.125248182130646896E+00
   5    0.681871882468653934E+00    0.196598329371527256E-01
   6    0.106752454516641615E+01    0.620378556657372071E+00
   7    0.247326682541007559E+01    0.314109736468043965E+00
   8   -0.239777794319335928E-05    0.197681781154522828E-03
   9    0.102167038904307295E+01    0.128109001788684090E+00
  10   -0.116434584306113857E-01    0.364133421816714639E-01
  11   -0.106906154494750081E-01    0.195622027052196681E-01
  12    0.148874480594434304E-01    0.207812784162064827E-01
  13    0.230147906829359077E-02    0.117385710074491625E-01
  14   -0.590431052218672514E-03    0.106798365877402660E-01
  15    0.290960464345019987E+00    0.159336501711790715E-01
  16    0.766602113761555071E+00    0.323463499774616636E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.107178583963458890E+00
   2    0.294892946117372290E+01
   3    0.208692825257642718E-01
   4    0.111968976402063891E+01
   5    0.670313460126406691E+00
   6    0.102510160020465779E+01
   7    0.208008606586690226E+01
   8    0.292897914062540581E-04
   9    0.103498749086479913E+01
  10   -0.203174162988406515E-01
  11   -0.115483681030050384E-01
  12    0.145145810875947356E-01
  13    0.135937210199924344E-01
  14    0.197553255643875131E-02
  15    0.286414946531506731E+00
  16    0.770550281416371829E+00

MAP Parameters
Dim No.        Parameter
   1    0.122647998637338815E+00
   2    0.256035214469675010E+01
   3    0.222480563965751638E-01
   4    0.128669584729899733E+01
   5    0.694877230270609658E+00
   6    0.232541310340840646E+01
   7    0.254263417024651872E+01
   8   -0.912834252625527656E-04
   9    0.106963156671912518E+01
  10   -0.616064166328692472E-01
  11    0.521315251550742709E-02
  12    0.117393376029188423E-01
  13    0.973273943080947557E-02
  14    0.132843235975092094E-01
  15    0.301416330556738499E+00
  16    0.745725523784944722E+00
