Nested Sampling Global Log-Evidence           :   -0.112131112031430632E+03  +/-    0.137605872724287509E+00
Nested Importance Sampling Global Log-Evidence:   -0.116599242471325525E+03  +/-    0.329686878546009560E-01

Dim No.       Mean        Sigma
   1    0.152084810150647010E+00    0.237613348131169889E-01
   2    0.304489656959917765E+01    0.137382992060730465E-01
   3    0.226010179020718176E-01    0.208764221836950977E-02
   4    0.964732105082254487E+00    0.417516711246877347E-02
   5    0.742920359892099369E+00    0.482806634151682137E-01
   6    0.939141153620429853E-01    0.637342089376978765E-02
   7    0.336409205604690165E+01    0.921555810668907904E+00
   8    0.228091121664611984E-01    0.198016640291339818E-02
   9    0.998160638755366425E+00    0.168082132080509539E+00
  10    0.769468206323251303E+00    0.317911984039078652E-01
  11    0.123812206725642041E-01    0.336305934891090486E+01
  12    0.140920976316363733E+01    0.951894673557369120E+00
  13    0.245691893445063547E+01    0.296173815292407661E+00
  14    0.256322151960179223E+01    0.316334122214843860E+00
  15   -0.344744052784391414E-05    0.188852026092061034E-03
  16   -0.312627922921750575E-05    0.194283151586019842E-03
  17   -0.268283169477685005E-01    0.598047657141103223E-01
  18   -0.258999565791055882E-01    0.303536295351532238E-01
  19    0.232426997238457875E-01    0.309190065922915931E-01
  20    0.481006494474675757E-02    0.192782635065495249E-01
  21   -0.549838357769109345E-03    0.180750025170612581E-01
  22    0.318115100172335963E+00    0.457582907663437247E-01
  23    0.966402010415329360E+00    0.935337464104212674E-01
  24    0.198916351474513781E+00    0.274541432164298743E-01
  25    0.941816848036379106E+00    0.432015708348096161E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139684982850181050E+00
   2    0.305075659399687105E+01
   3    0.214272224852629298E-01
   4    0.964631210315959997E+00
   5    0.687791755101095137E+00
   6    0.931722701701462874E-01
   7    0.246008646104764317E+01
   8    0.257057324588458001E-01
   9    0.101436788825916491E+01
  10    0.793457841382335660E+00
  11   -0.202261611568055777E+00
  12    0.225815603894026751E+01
  13    0.238912187989381763E+01
  14    0.265584434136647918E+01
  15   -0.731451899938434036E-04
  16   -0.280464382241220247E-04
  17   -0.111407398725008891E+00
  18   -0.653442820208559039E-01
  19   -0.181415796451108793E-01
  20    0.594834388354441301E-03
  21   -0.159087884121007148E-01
  22    0.340576369437880444E+00
  23    0.916205108801765866E+00
  24    0.188822518821041591E+00
  25    0.527131499560258066E+00

MAP Parameters
Dim No.        Parameter
   1    0.117555583571644973E+00
   2    0.304967030934474792E+01
   3    0.188398917692302083E-01
   4    0.965351183459616902E+00
   5    0.726900247641931951E+00
   6    0.101193284110387430E+00
   7    0.243259721059169820E+01
   8    0.214773211500765837E-01
   9    0.126721533020795629E+01
  10    0.725542539756845350E+00
  11    0.214485021200951209E+01
  12    0.236013228015998955E+01
  13    0.203348228423854271E+01
  14    0.246709104692735037E+01
  15    0.355951192609671018E-03
  16    0.794282987957764097E-05
  17   -0.278665342151604989E-01
  18   -0.531131993184205259E-01
  19   -0.322066770770661620E-01
  20   -0.275210349363579770E-01
  21   -0.159554494595674154E-01
  22    0.258137042528978955E+00
  23    0.852452069694958126E+00
  24    0.233031562009445387E+00
  25    0.628688742982967619E+00
